property_type,place_with_parent_names,lat-lon,price,currency,surface_covered_in_m2
apartment,|Azcapotzalco|Distrito Federal|México|,"19.484532,-99.207027",1454166,MXN,75
apartment,|Tlalpan|Distrito Federal|México|,"19.278198,-99.200831",1320000,MXN,65
house,|Othón P. Blanco|Quintana Roo|México|,"23.634501,-102.552788",1800000,MXN,300
house,|Iztacalco|Distrito Federal|México|,"19.3972156,-99.0648632",4400000,MXN,450
apartment,|Iztacalco|Distrito Federal|México|,"19.383251,-99.105499",722000,MXN,74
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.461871,-99.129227",988250,MXN,75
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.422398,-99.167129",1414000,MXN,60
house,|Gustavo A. Madero|Distrito Federal|México|,"19.460218,-99.113106",,,0
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.41498,-99.177444",5500000,MXN,164
apartment,|Benito Juárez|Quintana Roo|México|,"21.137383,-86.768717",85000,USD,39
apartment,|Azcapotzalco|Distrito Federal|México|,,877960,MXN,52
apartment,|Coyoacán|Distrito Federal|México|,"19.303736,-99.163605",2012592,MXN,63
house,|Benito Juárez|Quintana Roo|México|,"21.0958115744,-86.8690896034",2500000,MXN,200
apartment,|Miguel Hidalgo|Distrito Federal|México|,,720000,USD,160
apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.453513,-99.210223",751334,MXN,75
house,|Solidaridad|Quintana Roo|México|,"20.6140672951,-87.1172904968",1640000,MXN,120
house,|Tlalpan|Distrito Federal|México|,"19.3026056362,-99.2058026791",3930000,MXN,
house,|Iztapalapa|Distrito Federal|México|,"19.3661948918,-99.1211414337",3300000,MXN,198
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.365766,-99.263112",3420000,MXN,120
apartment,|Venustiano Carranza|Distrito Federal|México|,"19.439037,-99.119514",659000,MXN,50
apartment,|Coyoacán|Distrito Federal|México|,,754900,MXN,76
house,|Miguel Hidalgo|Distrito Federal|México|,"19.4010793,-99.2480728",22500000,MXN,600
house,|Benito Juárez|Quintana Roo|México|,"21.139086,-86.84964",772000,MXN,82
house,|Álvaro Obregón|Distrito Federal|México|,"19.367477,-99.222025",3060000,MXN,300
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.384327,-99.215523",900000,MXN,66
apartment,|Iztapalapa|Distrito Federal|México|,"19.317698,-99.061256",659000,MXN,60
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.422201,-99.159447",2720667,MXN,100
apartment,|Azcapotzalco|Distrito Federal|México|,"19.503195,-99.206723",1300000,MXN,90
house,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.364245,-99.302638",1200000,MXN,247
apartment,|Benito Juárez|Quintana Roo|México|,,4750000,MXN,
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.405298,-99.164986",4280000,MXN,74
apartment,|Benito Juárez|Distrito Federal|México|,"19.3687777,-99.1897886",3200000,MXN,95
apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.524143,-99.160149",650000,MXN,59
apartment,|Solidaridad|Quintana Roo|México|,"20.6347622491,-87.0636034012",565500,USD,136
apartment,|Iztapalapa|Distrito Federal|México|,"19.325608,-99.06112",602000,MXN,65
apartment,|Venustiano Carranza|Distrito Federal|México|,"19.457685,-99.121754",592667,MXN,40
house,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",850000,MXN,0
apartment,|Benito Juárez|Distrito Federal|México|,"19.3677299,-99.1527773",3000000,MXN,100
apartment,|Álvaro Obregón|Distrito Federal|México|,"19.332149,-99.244008",1626000,MXN,70
apartment,|Benito Juárez|Quintana Roo|México|,"21.1295101033,-86.7501325607",750000,USD,239
apartment,|Cuauhtémoc|Distrito Federal|México|,"19.420103,-99.171297",9879628,MXN,243
house,|Playa del Carmen|Solidaridad|Quintana Roo|México|,"20.678161,-87.053842",955000,MXN,100
house,|Álvaro Obregón|Distrito Federal|México|,"19.352528,-99.217276",1514680,MXN,148
house,|Azcapotzalco|Distrito Federal|México|,"19.481972,-99.199944",3200000,MXN,320
apartment,|Solidaridad|Quintana Roo|México|,"20.6542296048,-87.087635994",930871,MXN,70
apartment,|Miguel Hidalgo|Distrito Federal|México|,,1450000,USD,220
apartment,|Iztacalco|Distrito Federal|México|,"19.410307,-99.065399",1700000,MXN,64
house,|Benito Juárez|Quintana Roo|México|,"21.100996554,-86.8623733521",3300000,MXN,185
apartment,|Benito Juárez|Quintana Roo|México|,"21.1295466,-86.8170132",390000,USD,200
apartment,|Coyoacán|Distrito Federal|México|,"19.334351,-99.11442",1252666,MXN,540
house,|Solidaridad|Quintana Roo|México|,,1100000,MXN,116
apartment,|Benito Juárez|Distrito Federal|México|,"19.403489,-99.156312",4850000,MXN,112
house,|Gustavo A. Madero|Distrito Federal|México|,"19.515999,-99.155679",1869000,MXN,204
apartment,|Benito Juárez|Distrito Federal|México|,"19.379109,-99.187689",1042000,MXN,60
