TYPE,PRICE,BEDS,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Multi-family home for sale,925000,5,2750,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809
Condo for sale,329000,1,794,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313
Multi-family home for sale,1300000,10,5040,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613
Multi-family home for sale,848000,5,2080,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309
Co-op for sale,279000,1,750,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305
Condo for sale,528000,1,602,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
Multi-family home for sale,1299888,11,3156,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554
Co-op for sale,275000,1,2184.207862,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834
Condo for sale,1165000,1,815,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468
Multi-family home for sale,1199000,6,3290,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135
Multi-family home for sale,700000,6,3053,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871
Multi-family home for sale,2150000,8,3200,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824
Multi-family home for sale,1280000,7,2460,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322
Co-op for sale,199900,1,2184.207862,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625
Co-op for sale,369000,2,2184.207862,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077
Multi-family home for sale,699000,4,1591,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331
Co-op for sale,4250000,3,2400,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212
Multi-family home for sale,825000,2,2184.207862,"32-39 Jordan St, Flushing, NY 11358, USA",40.768457,-73.789417
Condo for sale,329000,2,837,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344
Multi-family home for sale,889000,2,1520,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917
Multi-family home for sale,769000,2,2184.207862,"101-55 112th St, South Richmond Hill, NY 11419, USA",40.6868333,-73.8309133
Multi-family home for sale,1200000,4,2536,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526
Co-op for sale,220500,2,900,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983
Multi-family home for sale,1999000,3,2739,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598
Co-op for sale,3250000,2,1300,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266
Condo for sale,1650000,2,1267,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131
Multi-family home for sale,1049000,4,2554,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531
House for sale,998800,3,2400,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996
House for sale,998800,3,2400,"Waldron Ave, Staten Island, NY 10301, USA",40.618648,-74.1019085
For sale,3150000,3,1952,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051
Co-op for sale,849000,1,2184.207862,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328
Co-op for sale,559500,1,800,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983
Co-op for sale,750000,1,835,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578
Condo for sale,1900000,2,1029,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438
Condo for sale,1250000,2,1201,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099
Condo for sale,1395000,2,1182,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728
Co-op for sale,198000,1,2184.207862,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466
Contingent,619888,3,1400,"35 Center Pl, Staten Island, NY 10306, USA",40.5632116,-74.1002521
Multi-family home for sale,1489000,6,3780,"205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877
Townhouse for sale,65000000,3,15200,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167
Condo for sale,1595000,3,1413,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444
Condo for sale,655000,3,803,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036
Condo for sale,1175000,2,1115,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444
Multi-family home for sale,2880000,9,2350,"16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588
Multi-family home for sale,798000,3,2150,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056
Land for sale,1685000,3,2184.207862,"519 Fairview Ave, Ridgewood, NY 11385, USA",40.7083434,-73.9081614
Condo for sale,31000000,3,4492,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568
Land for sale,2550000,3,2184.207862,"234 Ocean View Ave, Brooklyn, NY 11235, USA",40.5785288,-73.9655666
Land for sale,119000,3,2184.207862,"3652 De Reimer Ave, Bronx, NY 10466, USA",40.8841699,-73.8388387
Foreclosure,269000,5,2184.207862,"241-49 148th Dr, Jamaica, NY 11422, USA",40.6534433,-73.741373
Condo for sale,1650000,2,1065,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
Condo for sale,1650000,2,1065,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
Townhouse for sale,12950000,5,3344,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035
Condo for sale,5750000,3,2223,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819
Multi-family home for sale,250000,5,2184.207862,"130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339
Pending,950000,6,3384,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706
House for sale,585000,3,1100,"192 Colfax Ave, Staten Island, NY 10306, USA",40.5784263,-74.105437
House for sale,8750000,6,2184.207862,"8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695
House for sale,595000,3,1316,"1509 E 48th St, Brooklyn, NY 11234, USA",40.6239146,-73.9291226
Condo for sale,215000,1,625,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538
For sale,950000,1,621,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
House for sale,314000,3,1572,"850 E 39th St, Brooklyn, NY 11210, USA",40.6362368,-73.939679
Condo for sale,395000,5,1000,"110 E 71st St, New York, NY 10021, USA",40.7700395,-73.9638872
Multi-family home for sale,600000,2,2184.207862,"1406 Mac Donough Pl, Bronx, NY 10465, USA",40.8429545,-73.8249591
Multi-family home for sale,790000,6,2520,"78 Mountainview Ave, Staten Island, NY 10314, USA",40.6105856,-74.1268175
Co-op for sale,539000,2,1100,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836
Co-op for sale,1295000,4,1995,"2501 Palisade Ave #2, Bronx, NY 10463, USA",40.8809873,-73.9224337
House for sale,245000,3,2184.207862,"2942 Lurting Ave, Bronx, NY 10469, USA",40.8690109,-73.8564445
House for sale,400000,7,2385,"340 E 234th St, Bronx, NY 10470, USA",40.8969146,-73.8654984
House for sale,55000000,8,12000,"25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322
Co-op for sale,280000,1,1000,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837
House for sale,899000,3,1440,"40 Adelphi Ave, Staten Island, NY 10309, USA",40.5159004,-74.2314825
For sale,2280000,2,1400,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
Coming Soon,649000,4,2184.207862,"194 Carroll St, Brooklyn, NY 11231, USA",40.6813429,-73.9981509
Pending,739000,6,2184.207862,"38 Dare Ct, Brooklyn, NY 11229, USA",40.5877991,-73.9216187
House for sale,1495000,4,3000,"31 4 Ct, Staten Island, NY 10312, USA",40.5247627,-74.1681035
House for sale,3950000,5,3528,"591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375
Condo for sale,325000,2,979,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257
Pending,299999,3,2184.207862,"215 W 75th St #4d, New York, NY 10023, USA",40.7810583,-73.9808407
Townhouse for sale,2695000,6,4720,"327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514
Pending,4800000,6,3958,"1151 83rd St, Brooklyn, NY 11228, USA",40.6178184,-74.0151165
House for sale,694000,3,1360,"364 Armstrong Ave, Staten Island, NY 10308, USA",40.5423126,-74.1555672
House for sale,688888,4,2846,"761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768
House for sale,400000,4,1980,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867
Multi-family home for sale,346000,5,2184.207862,"103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042
House for sale,400000,4,1980,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867
Multi-family home for sale,346000,5,2184.207862,"103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042
House for sale,265000,3,2184.207862,"135-38 224th St, Jamaica, NY 11413, USA",40.67538,-73.7472571
House for sale,319000,3,1224,"57 Neutral Ave, Staten Island, NY 10306, USA",40.5604695,-74.1018925
Townhouse for sale,24800000,6,2184.207862,"45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462
House for sale,1100000,9,3276,"421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229
Multi-family home for sale,309000,6,2184.207862,"29-18 Brookhaven Ave, Far Rockaway, NY 11691, USA",40.5980695,-73.7632649
House for sale,650000,3,1522,"237-14 93rd Rd, Jamaica, NY 11426, USA",40.723245,-73.7293286
House for sale,799000,4,1975,"604 Lamont Ave, Staten Island, NY 10312, USA",40.5387812,-74.193378
Co-op for sale,259000,3,1089,"7C Edgewater Park, Bronx, NY 10465, USA",40.8246371,-73.8072061
House for sale,1195000,4,2704,"52 Indale Ave, Staten Island, NY 10309, USA",40.5143019,-74.2044734
Condo for sale,17500000,5,5499,"37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443
Condo for sale,189000,2,966,"20 Cliff St #6b, Staten Island, NY 10305, USA",40.6109595,-74.060351
Condo for sale,759000,3,1200,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051
House for sale,275000,4,2184.207862,"579 E 29th St, Brooklyn, NY 11210, USA",40.6366859,-73.9488175
Condo for sale,499000,1,630,"157 E 72nd St #8i, New York, NY 10021, USA",40.7702318,-73.9610161
House for sale,1249000,3,2184.207862,"3021 Arlington Ave, Bronx, NY 10463, USA",40.8822913,-73.9137305
Co-op for sale,69900,2,700,"61 Edgewater Park, Bronx, NY 10465, USA",40.8224987,-73.8111568
Multi-family home for sale,1150000,12,5508,"32-40 48th St, Long Island City, NY 11103, USA",40.755049,-73.9136386
Foreclosure,1749900,5,3740,"517 W 142nd St, New York, NY 10031, USA",40.824015,-73.9502067
Co-op for sale,1399000,3,1993,"26910 Grand Central Pkwy Apt 21n, Queens, NY 11005, USA",40.7566899,-73.72075
Condo for sale,649000,3,1182,"163-4 71st Ave #122, Fresh Meadows, NY 11365, USA",40.7302938,-73.8059248
House for sale,499000,5,1760,"2774 Marion Ave, Bronx, NY 10458, USA",40.8663864,-73.8878945
Multi-family home for sale,1050000,5,3132,"2818 Miles Ave, Bronx, NY 10465, USA",40.8176549,-73.8197053
Townhouse for sale,5000000,10,6425,"137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047
Pending,90000,1,660,"16 Mapleton Ave, Staten Island, NY 10306, USA",40.574451,-74.0929448
House for sale,56000000,11,24000,"9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913
Townhouse for sale,650000,3,1638,"1544 Ohm Ave, Bronx, NY 10465, USA",40.8454501,-73.8209766
Condo for sale,500000,4,1794,"251 W 89th St #6e, New York, NY 10024, USA",40.7905714,-73.9753392
House for sale,350000,2,490,"750 Patterson Ave, Staten Island, NY 10306, USA",40.5731273,-74.089182
House for sale,1099000,4,2184.207862,"204-34 9th Ave, Breezy Point, NY 11697, USA",40.5595612,-73.9147409
Co-op for sale,90000,1,450,"1383 Plimpton Ave #1c, Bronx, NY 10452, USA",40.8423705,-73.9234444
House for sale,839000,4,2184.207862,"158-35 87th St, Jamaica, NY 11414, USA",40.6590909,-73.8451972
House for sale,659000,8,2184.207862,"148-05 111th Ave, Jamaica, NY 11435, USA",40.688533,-73.796529
House for sale,659000,8,2184.207862,"148-05 111th Ave, Jamaica, NY 11435, USA",40.688533,-73.796529
House for sale,399999,3,2184.207862,"178 Beach 24th St, Far Rockaway, NY 11691, USA",40.5950021,-73.7577376
Condo for sale,250000,3,2184.207862,"3105 Ave V #1f, Brooklyn, NY 11229, USA",40.5997081,-73.9344974
For sale,1740000,2,1132,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
House for sale,650000,4,2244,"115- 115 220th St, Cambria Heights, NY 11411, USA",40.6968706,-73.7390395
House for sale,1165000,3,3500,"67 Dexter Ave, Staten Island, NY 10309, USA",40.5397292,-74.2155251
House for sale,729900,3,1150,"447 Vernon Ave, Staten Island, NY 10309, USA",40.5302132,-74.1981906
House for sale,1880000,3,3150,"3758 Bayview Ave, Brooklyn, NY 11224, USA",40.5805262,-74.0061062
Co-op for sale,449000,2,1549,"26910 Grand Central Pkwy #22l, Queens, NY 11005, USA",40.7577991,-73.7159564
House for sale,1175000,3,2250,"251 B 140 St, Rockaway Park, NY 11694, USA",40.57372,-73.8577786
Townhouse for sale,2750000,3,2184.207862,"16 Gay St, New York, NY 10014, USA",40.7336687,-74.000518
House for sale,995000,3,2184.207862,"159-03 83rd St, Queens, NY 11414, USA",40.657686,-73.8489131
Condo for sale,2000000,3,2000,"Liberty Court, 200 Rector Pl #27e, New York, NY 10280, USA",40.7086444,-74.0161953
Townhouse for sale,15000000,8,2184.207862,"126 Pierrepont St, Brooklyn, NY 11201, USA",40.6948972,-73.9925741
House for sale,2800000,4,8333,"25 Copperleaf Terrace, Staten Island, NY 10304, USA",40.5861193,-74.1075476
House for sale,2600000,5,3024,"214-42 27th Ave, Flushing, NY 11360, USA",40.7780417,-73.7739629
Townhouse for sale,3500000,6,6000,"51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622
Co-op for sale,550000,1,2184.207862,"609 Columbus Ave #10j, New York, NY 10024, USA",40.7887084,-73.9700091
Pending,769000,3,2184.207862,"290 Lake Ave, Staten Island, NY 10303, USA",40.6291962,-74.1518654
House for sale,675000,3,2400,"2519 Mill Ave, Brooklyn, NY 11234, USA",40.610206,-73.91065
House for sale,879000,4,1238,"48 Princewood Ave, Staten Island, NY 10309, USA",40.5273247,-74.1983282
House for sale,918888,3,2184.207862,"30-36 88th St, Flushing, NY 11369, USA",40.760703,-73.880887
Townhouse for sale,2400000,4,1892,"396A 9th St, Brooklyn, NY 11215, USA",40.6674938,-73.9832146
House for sale,1730000,6,3024,"45-12 244th St, Flushing, NY 11362, USA",40.765022,-73.7422005
Multi-family home for sale,425000,5,2184.207862,"755 Coster St, Bronx, NY 10474, USA",40.8159966,-73.8881001
House for sale,2500000,5,1450,"33-02 Parsons Blvd, Flushing, NY 11354, USA",40.7679673,-73.8246067
House for sale,998000,4,2000,"336 Bethel Ave, Staten Island, NY 10307, USA",40.515251,-74.235145
House for sale,1195000,4,2688,"222 Hart Blvd, Staten Island, NY 10301, USA",40.6296431,-74.1005274
House for sale,1649000,3,2052,"1217 84th St, Brooklyn, NY 11228, USA",40.6164182,-74.0142443
House for sale,955000,4,2100,"82 Vineland Ave, Staten Island, NY 10312, USA",40.551184,-74.1840649
Multi-family home for sale,949000,6,2184.207862,"11737 141st St, Jamaica, NY 11436, USA",40.677393,-73.800094
House for sale,880000,3,1743,"190-16 33rd Ave, Flushing, NY 11358, USA",40.7668312,-73.7911175
Townhouse for sale,39995000,4,10582,"145 Reade St, New York, NY 10013, USA",40.7164224,-74.0101197
Townhouse for sale,1250000,8,2184.207862,"246 E 58th St, New York, NY 10022, USA",40.7600248,-73.9653546
Contingent,899999,3,1784,"61 Prescott Ave, Staten Island, NY 10306, USA",40.5788586,-74.11209
Condo for sale,198000,1,750,"11818 Union Tpke Apt 7l, Kew Gardens, NY 11415, USA",40.7127599,-73.83433
House for sale,549000,5,496,"2808 Wickham Ave, Bronx, NY 10469, USA",40.8679701,-73.836565
House for sale,1088888,3,1320,"1568 W 2nd St, Brooklyn, NY 11204, USA",40.6090909,-73.9762651
House for sale,888000,4,2686,"3079 Giegerich Pl, Bronx, NY 10465, USA",40.8130775,-73.8063357
For sale,65000,3,230,"45 Madison St #1, New York, NY 10038, USA",40.7120703,-73.9983258
House for sale,1449999,3,2184.207862,"21-89 47th St, Astoria, NY 11105, USA",40.7697773,-73.9014478
Townhouse for sale,14900000,5,2184.207862,"45 W 70th St, New York, NY 10023, USA",40.7758194,-73.9785263
Coming Soon,1695000,5,2250,"871 Putnam Ave, Brooklyn, NY 11221, USA",40.686947,-73.9261885
House for sale,2499000,5,4100,"152 Whitson St, Forest Hills, NY 11375, USA",40.7107701,-73.8406935
Townhouse for sale,1970000,4,2508,"59 Duffield St, Brooklyn, NY 11201, USA",40.6965326,-73.9839654
Co-op for sale,1895000,2,2184.207862,"905 Union St Apartment 1, Brooklyn, NY 11215, USA",40.673976,-73.973535
House for sale,689000,3,1248,"46 Kirshon Ave, Staten Island, NY 10314, USA",40.6137764,-74.1600305
House for sale,649999,3,1440,"219 Slater Blvd, Staten Island, NY 10305, USA",40.5803331,-74.0885167
House for sale,669000,3,864,"74 Holly St, Staten Island, NY 10304, USA",40.5993523,-74.0953882
House for sale,800000,3,825,"1485 E 53rd St, Brooklyn, NY 11234, USA",40.6222734,-73.924094
Co-op for sale,2375000,1,2184.207862,"10 Bleecker St #5b, New York, NY 10012, USA",40.7252187,-73.9929764
For sale,2400000,6,6688,"726 Nostrand Ave., Brooklyn, NY 11216, USA",40.6738566,-73.9506085
House for sale,390000,2,586,"231 Freeborn St, Staten Island, NY 10306, USA",40.574103,-74.0931668
Condo for sale,2250000,1,2184.207862,"302 W 12th St APT 7A, New York, NY 10014, USA",40.737308,-74.0046666
House for sale,1450000,4,2700,"308 Poillon Ave, Staten Island, NY 10312, USA",40.5273093,-74.1753435
Condo for sale,725000,2,792,"627 Wilson Ave #3, Brooklyn, NY 11207, USA",40.6898164,-73.9062474
Co-op for sale,269000,1,2184.207862,"4901 Henry Hudson Pkwy W #5f, Bronx, NY 10471, USA",40.8968048,-73.9087471
Co-op for sale,695000,2,2184.207862,"575 Park Ave # 1101, New York, NY 10065, USA",40.7651716,-73.9678719
House for sale,1300000,3,2184.207862,"246 Newman Ave, Bronx, NY 10473, USA",40.8109146,-73.853921
Co-op for sale,459000,3,1250,"2475 W 16th St #19h, Brooklyn, NY 11214, USA",40.5866482,-73.9845156
House for sale,689999,3,1008,"596 College Ave, Staten Island, NY 10302, USA",40.621814,-74.1406264
Co-op for sale,425000,3,1405,"58-03 Calloway St, Corona, NY 11368, USA",40.7381853,-73.8581248
House for sale,10000000,5,6800,"166 E 64th St, New York, NY 10065, USA",40.764989,-73.9655331
Co-op for sale,1525000,2,2184.207862,"67 Riverside Dr #1c, New York, NY 10024, USA",40.784623,-73.9826586
Multi-family home for sale,1499000,9,3519,"2619 Shore Pkwy, Brooklyn, NY 11223, USA",40.583514,-73.9738903
Co-op for sale,695000,2,2184.207862,"575 Park Ave # 1101, New York, NY 10065, USA",40.7651716,-73.9678719
House for sale,1300000,3,2184.207862,"246 Newman Ave, Bronx, NY 10473, USA",40.8109146,-73.853921
Co-op for sale,269000,1,2184.207862,"4901 Henry Hudson Pkwy W #5f, Bronx, NY 10471, USA",40.8968048,-73.9087471
Co-op for sale,425000,3,1405,"58-03 Calloway St, Corona, NY 11368, USA",40.7381853,-73.8581248
Multi-family home for sale,1499000,9,3519,"2619 Shore Pkwy, Brooklyn, NY 11223, USA",40.583514,-73.9738903
House for sale,519000,3,1480,"62 Simmons Ln, Staten Island, NY 10314, USA",40.5939378,-74.1843153
Co-op for sale,358000,2,2184.207862,"212- 79 16th Ave #183, Bayside, NY 11360, USA",40.7855174,-73.7797613
Co-op for sale,975000,3,2184.207862,"360 W 22nd St #9j, New York, NY 10011, USA",40.7455051,-74.0016003
Townhouse for sale,29200000,12,11638,"123 E 35th St, New York, NY 10016, USA",40.747472,-73.9796788
Co-op for sale,498000,2,975,"138 71st St Apt E10, Brooklyn, NY 11209, USA",40.6351164,-74.0311609
Co-op for sale,385000,1,900,"1805 215th St Apt 4n, Bayside, NY 11360, USA",40.7839299,-73.77643
Multi-family home for sale,999000,6,3144,"851 Van Nest Ave, Bronx, NY 10462, USA",40.8451067,-73.8601577
Co-op for sale,399000,1,2184.207862,"34-41 85th St #3a, Flushing, NY 11372, USA",40.7531191,-73.8818757
Contingent,599000,4,2800,"77 Harbour Ct, Staten Island, NY 10308, USA",40.5387352,-74.1423893
House for sale,829888,4,1800,"70 Savo Loop, Staten Island, NY 10309, USA",40.521278,-74.2230351
Townhouse for sale,699998,3,1548,"159 Freedom Ave, Staten Island, NY 10314, USA",40.5953144,-74.1628286
Co-op for sale,1088000,5,2184.207862,"20 Continental Ave #5f, Flushing, NY 11375, USA",40.7186003,-73.8453488
House for sale,999000,6,1280,"3426 Boller Ave, Bronx, NY 10475, USA",40.8808173,-73.8350832
Multi-family home for sale,1188888,15,2184.207862,"677 Grandview Ave, Queens, NY 11385, USA",40.7075546,-73.9036964
Co-op for sale,265000,1,700,"2345 Bell Blvd Apt 5f, Bayside, NY 11360, USA",40.7824499,-73.7765099
Co-op for sale,288000,1,845,"3901 Nostrand Ave. #4c, Brooklyn, NY 11235, USA",40.5894827,-73.9395372
Co-op for sale,999995,3,1750,"205 E 63rd St #11e, New York, NY 10065, USA",40.7640501,-73.964336
Co-op for sale,1495000,2,1350,"200 E 74th St #6b, New York, NY 10021, USA",40.7708195,-73.9595235
Co-op for sale,925000,1,1000,"235 E 73rd St #4b, New York, NY 10021, USA",40.7699425,-73.9583558
Co-op for sale,349000,2,2184.207862,"84-70 129th St #5u, Jamaica, NY 11415, USA",40.7050355,-73.8241699
Condo for sale,2000000,4,3000,"444 E 57th St #2d, New York, NY 10022, USA",40.7573479,-73.9614914
Condo for sale,839000,3,1376,"8895 26th Ave #5a, Brooklyn, NY 11214, USA",40.5905451,-73.9910402
Co-op for sale,329000,1,820,"11139 76th Rd Apt E6, Forest Hills, NY 11375, USA",40.7157399,-73.83672
Multi-family home for sale,899000,6,3683,"948 E 217th St, Bronx, NY 10469, USA",40.8796143,-73.856153
House for sale,615000,3,2184.207862,"534 Powell St, Brooklyn, NY 11212, USA",40.6610456,-73.9019953
Condo for sale,800000,2,1257,"309 E 108th St #5f, New York, NY 10029, USA",40.7917785,-73.9406204
Condo for sale,430000,2,1248,"527 Willow Rd E #2, Staten Island, NY 10314, USA",40.6123868,-74.1511288
Contingent,499000,3,1288,"625 Goethals Rd N, Staten Island, NY 10314, USA",40.6166867,-74.1576647
Co-op for sale,439500,3,1400,"83-80 118th St #3a, Queens, NY 11415, USA",40.7047878,-73.8344551
Co-op for sale,299000,1,2184.207862,"118-18 Union Tpke #17g, Kew Gardens, NY 11415, USA",40.7123992,-73.8339305
House for sale,2580000,8,6493,"60 Lyman Pl, Staten Island, NY 10304, USA",40.6050685,-74.0969483
Condo for sale,200000,1,613,"1700 Metropolitan Ave, Bronx, NY 10462, USA",40.840459,-73.8542045
Co-op for sale,425000,3,2184.207862,"504 W 135th St #1b, New York, NY 10031, USA",40.8189893,-73.953108
